Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Age Group,WasContactedBefore,PreviouslyContacted 
entrepreneur,married,university.degree,unknown,no,no,cellular,4,36-45,0,0
self-employed,divorced,basic.9y,no,unknown,no,telephone,1,26-35,0,0
blue-collar,married,basic.9y,no,unknown,no,telephone,4,36-45,0,0
management,single,university.degree,no,no,no,telephone,1,26-35,0,0
blue-collar,married,basic.9y,no,unknown,no,telephone,2,46-55,0,0
admin.,single,professional.course,no,unknown,yes,telephone,1,26-35,0,0
unknown,married,unknown,unknown,no,no,telephone,8,46-55,0,0
technician,married,professional.course,no,unknown,no,cellular,3,26-35,0,0
management,married,university.degree,no,yes,no,telephone,4,46-55,0,0
technician,married,unknown,unknown,no,yes,telephone,1,46-55,0,0
technician,single,university.degree,no,no,no,cellular,1,36-45,0,0
technician,single,professional.course,no,yes,no,cellular,2,26-35,0,0
blue-collar,married,basic.9y,no,no,unknown,cellular,1,36-45,0,0
technician,divorced,professional.course,unknown,no,no,telephone,1,56-65,0,0
blue-collar,married,basic.6y,unknown,yes,no,cellular,1,26-35,0,0
technician,divorced,high.school,unknown,yes,no,cellular,1,36-45,0,0
self-employed,single,university.degree,no,yes,no,cellular,1,26-35,0,0
self-employed,single,high.school,no,yes,no,cellular,1,26-35,0,0
admin.,divorced,university.degree,no,no,no,cellular,5,46-55,0,0
admin.,married,basic.6y,no,unknown,no,cellular,6,26-35,0,0
blue-collar,married,basic.9y,no,unknown,no,cellular,2,36-45,0,0
admin.,married,university.degree,no,unknown,no,telephone,3,26-35,0,0
retired,married,high.school,no,unknown,unknown,cellular,1,56-65,0,0
blue-collar,married,basic.9y,no,unknown,unknown,telephone,1,26-35,0,0
blue-collar,married,basic.9y,unknown,unknown,no,cellular,8,26-35,0,0
admin.,single,high.school,no,yes,no,cellular,2,26-35,0,0
technician,single,professional.course,no,unknown,no,cellular,1,26-35,0,0
technician,married,professional.course,no,unknown,unknown,telephone,20,46-55,0,0
technician,married,professional.course,no,no,no,cellular,1,26-35,0,0
technician,married,professional.course,unknown,unknown,no,telephone,2,46-55,0,0
blue-collar,married,professional.course,no,unknown,unknown,cellular,5,18-25,0,0
technician,married,professional.course,no,unknown,no,cellular,1,26-35,0,0
blue-collar,married,basic.6y,no,no,no,cellular,1,36-45,0,0
self-employed,married,university.degree,no,unknown,no,telephone,5,26-35,0,0
blue-collar,divorced,unknown,no,unknown,yes,telephone,1,36-45,0,0
blue-collar,single,professional.course,unknown,unknown,no,cellular,1,36-45,0,0
admin.,single,university.degree,no,unknown,no,cellular,2,26-35,0,0
services,single,high.school,no,no,unknown,cellular,2,18-25,0,0
self-employed,single,professional.course,no,unknown,no,telephone,7,26-35,0,0
self-employed,divorced,university.degree,no,unknown,no,cellular,1,36-45,0,0
management,married,university.degree,no,unknown,no,cellular,4,36-45,0,0
admin.,married,university.degree,no,yes,yes,cellular,1,46-55,0,0
technician,married,professional.course,no,yes,no,cellular,3,46-55,0,0
technician,married,professional.course,no,unknown,no,cellular,1,46-55,0,0
admin.,single,university.degree,no,unknown,no,cellular,2,36-45,0,0
retired,divorced,basic.4y,no,unknown,no,cellular,1,66+,1,3
blue-collar,married,basic.6y,no,yes,no,telephone,1,36-45,0,0
admin.,single,university.degree,no,yes,no,cellular,4,26-35,0,0
technician,single,university.degree,no,unknown,no,cellular,4,26-35,0,0
blue-collar,married,basic.6y,unknown,no,unknown,telephone,4,36-45,0,0
admin.,single,basic.9y,no,unknown,no,cellular,2,18-25,0,0
admin.,single,basic.4y,unknown,unknown,no,telephone,1,26-35,0,0
admin.,married,professional.course,no,yes,yes,cellular,2,26-35,0,0
admin.,divorced,unknown,unknown,unknown,no,cellular,1,46-55,0,0
management,married,university.degree,no,unknown,no,cellular,1,26-35,1,2
admin.,single,university.degree,no,unknown,yes,cellular,2,26-35,0,0
admin.,single,basic.4y,unknown,unknown,no,telephone,1,26-35,0,0
technician,married,university.degree,no,unknown,no,cellular,2,36-45,0,0
retired,married,basic.6y,unknown,no,no,telephone,1,46-55,0,0
retired,married,professional.course,no,no,no,cellular,1,66+,0,0
entrepreneur,married,unknown,unknown,no,no,telephone,1,56-65,0,0
admin.,divorced,university.degree,no,no,no,telephone,10,26-35,0,0
self-employed,single,university.degree,no,unknown,no,cellular,2,26-35,0,0
self-employed,divorced,university.degree,no,yes,no,telephone,4,36-45,0,0
admin.,divorced,high.school,no,unknown,no,telephone,2,46-55,0,0
retired,married,basic.4y,no,no,no,telephone,1,66+,0,0
services,single,high.school,no,yes,no,telephone,2,26-35,0,0
technician,married,university.degree,no,unknown,no,cellular,1,26-35,0,0
admin.,single,university.degree,no,unknown,no,cellular,2,36-45,0,0
services,single,professional.course,no,unknown,no,telephone,1,26-35,0,0
management,divorced,university.degree,no,no,no,telephone,9,36-45,0,0
self-employed,divorced,professional.course,unknown,unknown,no,telephone,3,26-35,0,0
admin.,divorced,high.school,no,no,no,telephone,1,36-45,0,0
blue-collar,single,basic.9y,no,yes,no,cellular,5,18-25,0,0
admin.,married,high.school,no,yes,no,telephone,2,26-35,0,0
technician,single,basic.9y,no,yes,no,cellular,1,26-35,0,0
blue-collar,married,basic.9y,no,unknown,yes,telephone,1,26-35,0,0
self-employed,married,high.school,unknown,yes,no,cellular,3,36-45,0,0
services,single,high.school,no,unknown,no,cellular,1,26-35,0,0
technician,single,university.degree,no,unknown,no,telephone,3,26-35,0,0
technician,single,professional.course,no,no,no,cellular,2,26-35,0,0
admin.,divorced,university.degree,no,yes,no,cellular,2,36-45,0,0
technician,single,high.school,unknown,unknown,no,cellular,3,26-35,0,0
services,married,high.school,unknown,yes,no,telephone,1,46-55,0,0
technician,married,basic.9y,unknown,unknown,unknown,cellular,1,36-45,0,0
blue-collar,married,high.school,no,unknown,yes,cellular,1,36-45,0,0
admin.,married,high.school,no,unknown,no,cellular,2,26-35,0,0
technician,married,basic.6y,no,no,no,cellular,1,46-55,0,0
blue-collar,married,basic.6y,no,unknown,unknown,cellular,1,36-45,0,0
services,married,high.school,no,unknown,no,telephone,18,46-55,0,0
blue-collar,married,unknown,no,unknown,no,cellular,3,46-55,0,0
blue-collar,married,basic.4y,unknown,unknown,no,cellular,4,36-45,0,0
blue-collar,single,high.school,no,unknown,yes,telephone,7,26-35,0,0
admin.,married,university.degree,no,no,no,telephone,2,26-35,0,0
services,married,high.school,no,no,no,telephone,1,36-45,0,0
services,married,basic.4y,no,unknown,no,cellular,1,26-35,0,0
services,married,basic.4y,unknown,no,no,telephone,12,36-45,0,0
student,single,unknown,no,unknown,no,cellular,5,18-25,0,0
blue-collar,married,basic.9y,no,unknown,yes,cellular,5,26-35,0,0
blue-collar,divorced,unknown,no,yes,no,cellular,1,26-35,0,0
blue-collar,single,high.school,no,no,no,cellular,1,26-35,0,0
retired,married,basic.4y,no,yes,no,cellular,1,66+,0,0
student,single,unknown,no,unknown,no,cellular,2,26-35,0,0
admin.,divorced,university.degree,no,unknown,no,cellular,3,46-55,0,0
blue-collar,single,high.school,no,unknown,no,cellular,2,26-35,0,0
admin.,single,university.degree,no,yes,no,telephone,3,26-35,0,0
admin.,divorced,university.degree,no,unknown,no,cellular,2,26-35,0,0
student,married,university.degree,no,no,yes,cellular,2,18-25,0,0
blue-collar,married,high.school,no,unknown,no,cellular,4,56-65,1,4
blue-collar,married,basic.6y,unknown,yes,yes,cellular,1,46-55,0,0
blue-collar,married,basic.9y,no,unknown,no,cellular,4,36-45,0,0
management,married,university.degree,no,yes,no,telephone,1,18-25,0,0
entrepreneur,married,basic.4y,unknown,unknown,no,cellular,2,46-55,0,0
services,divorced,high.school,no,no,no,telephone,1,46-55,0,0
entrepreneur,single,unknown,no,unknown,no,telephone,3,46-55,0,0
student,single,high.school,no,unknown,yes,cellular,3,18-25,0,0
admin.,single,university.degree,no,yes,no,cellular,1,26-35,0,0
services,married,high.school,no,unknown,unknown,cellular,2,36-45,0,0
services,married,high.school,no,no,yes,cellular,2,46-55,0,0
self-employed,married,university.degree,no,unknown,no,cellular,2,36-45,0,0
blue-collar,divorced,basic.4y,unknown,unknown,unknown,cellular,1,36-45,0,0
technician,married,university.degree,no,unknown,no,cellular,1,46-55,0,0
blue-collar,married,basic.4y,unknown,yes,no,telephone,9,46-55,0,0
unemployed,single,university.degree,no,unknown,yes,cellular,1,36-45,0,0
technician,unknown,unknown,unknown,no,no,telephone,3,46-55,0,0
technician,divorced,professional.course,no,unknown,yes,cellular,5,46-55,0,0
admin.,single,university.degree,no,unknown,no,cellular,1,26-35,0,0
admin.,married,university.degree,no,no,no,cellular,1,26-35,0,0
management,married,basic.9y,no,yes,no,cellular,2,36-45,0,0
services,married,high.school,no,unknown,unknown,telephone,2,46-55,0,0
technician,single,university.degree,no,yes,yes,cellular,2,26-35,0,0
services,married,high.school,no,unknown,no,telephone,1,46-55,0,0
retired,divorced,professional.course,no,unknown,no,telephone,4,66+,0,0
self-employed,married,basic.4y,unknown,yes,no,cellular,1,46-55,0,0
unemployed,married,basic.9y,unknown,unknown,no,telephone,6,36-45,0,0
services,married,high.school,no,unknown,no,cellular,3,36-45,0,0
blue-collar,married,basic.4y,no,unknown,no,cellular,1,36-45,0,0
blue-collar,married,basic.6y,unknown,yes,no,telephone,2,26-35,0,0
admin.,married,high.school,no,unknown,no,telephone,2,26-35,0,0
blue-collar,married,basic.9y,unknown,no,no,telephone,3,46-55,0,0
admin.,married,unknown,no,unknown,no,telephone,5,46-55,0,0
admin.,single,university.degree,no,no,no,cellular,1,36-45,0,0
housemaid,single,university.degree,no,unknown,no,cellular,3,26-35,0,0
technician,single,university.degree,no,unknown,no,cellular,1,26-35,0,0
technician,single,professional.course,unknown,yes,no,cellular,1,26-35,0,0
services,single,high.school,no,unknown,no,telephone,6,26-35,0,0
admin.,single,university.degree,no,no,no,cellular,2,26-35,0,0
management,married,basic.4y,no,unknown,no,cellular,2,36-45,0,0
blue-collar,married,high.school,unknown,unknown,no,telephone,1,36-45,0,0
entrepreneur,married,basic.6y,no,unknown,no,telephone,8,26-35,0,0
retired,single,unknown,unknown,unknown,yes,cellular,6,56-65,0,0
student,single,unknown,no,unknown,no,cellular,1,18-25,0,0
technician,divorced,professional.course,no,no,no,cellular,15,46-55,0,0
technician,single,professional.course,no,unknown,no,cellular,1,36-45,0,0
blue-collar,married,basic.4y,unknown,unknown,no,cellular,1,46-55,0,0
services,married,basic.9y,no,yes,unknown,cellular,1,26-35,0,0
housemaid,married,university.degree,unknown,yes,no,cellular,1,46-55,0,0
entrepreneur,married,high.school,no,unknown,yes,cellular,2,26-35,0,0
admin.,married,high.school,no,unknown,no,cellular,2,36-45,0,0
blue-collar,married,basic.6y,no,yes,no,cellular,2,46-55,0,0
admin.,married,high.school,no,unknown,unknown,cellular,8,36-45,0,0
technician,single,professional.course,no,unknown,no,cellular,1,26-35,0,0
admin.,divorced,basic.9y,no,unknown,unknown,cellular,2,36-45,0,0
admin.,married,university.degree,no,yes,no,cellular,1,26-35,0,0
blue-collar,married,basic.9y,no,unknown,no,telephone,2,26-35,0,0
admin.,married,university.degree,no,yes,no,telephone,2,36-45,0,0
admin.,single,university.degree,no,unknown,no,telephone,2,26-35,0,0
technician,married,university.degree,unknown,yes,no,telephone,5,56-65,0,0
retired,married,basic.4y,no,no,no,telephone,1,56-65,0,0
blue-collar,married,professional.course,no,unknown,no,telephone,3,46-55,0,0
admin.,divorced,high.school,no,yes,unknown,telephone,4,26-35,0,0
management,divorced,university.degree,no,unknown,unknown,cellular,1,36-45,0,0
student,single,basic.4y,no,no,no,telephone,8,26-35,0,0
services,married,basic.4y,no,no,no,cellular,1,46-55,0,0
technician,single,university.degree,no,unknown,no,cellular,2,36-45,0,0
technician,married,professional.course,no,no,yes,cellular,2,46-55,0,0
admin.,single,high.school,no,unknown,no,cellular,1,18-25,0,0
technician,married,high.school,no,yes,no,cellular,1,36-45,0,0
admin.,single,university.degree,no,yes,yes,cellular,1,26-35,0,0
blue-collar,divorced,unknown,no,unknown,no,cellular,6,36-45,0,0
blue-collar,married,basic.9y,no,no,no,cellular,1,26-35,0,0
services,married,professional.course,no,no,no,cellular,3,26-35,0,0
housemaid,married,basic.4y,no,unknown,no,cellular,2,56-65,0,0
student,single,high.school,no,unknown,no,cellular,1,18-25,0,0
technician,single,university.degree,no,unknown,no,cellular,4,26-35,0,0
self-employed,single,university.degree,no,no,no,cellular,1,36-45,0,0
technician,married,professional.course,no,no,yes,telephone,2,36-45,0,0
blue-collar,married,basic.4y,unknown,unknown,no,telephone,4,36-45,0,0
technician,married,professional.course,no,unknown,no,cellular,2,36-45,0,0
student,single,unknown,unknown,yes,yes,cellular,4,36-45,0,0
blue-collar,married,basic.9y,unknown,unknown,no,cellular,1,36-45,0,0
entrepreneur,married,high.school,unknown,unknown,no,telephone,3,26-35,0,0
unemployed,married,basic.9y,unknown,unknown,no,telephone,10,36-45,0,0
admin.,married,basic.4y,no,unknown,no,telephone,1,36-45,0,0
management,married,basic.6y,unknown,unknown,no,telephone,16,56-65,0,0
services,married,basic.6y,no,unknown,no,cellular,1,46-55,0,0
services,single,basic.9y,unknown,unknown,no,cellular,3,18-25,0,0
admin.,single,high.school,no,no,no,telephone,5,26-35,0,0
admin.,married,university.degree,no,unknown,yes,telephone,6,26-35,0,0
retired,married,professional.course,no,unknown,no,cellular,4,56-65,0,0
admin.,single,university.degree,no,unknown,no,telephone,3,36-45,0,0
blue-collar,married,basic.9y,no,unknown,no,cellular,1,36-45,0,0
technician,married,professional.course,no,unknown,no,cellular,1,46-55,0,0
blue-collar,single,basic.9y,no,unknown,no,cellular,1,26-35,0,0
blue-collar,married,basic.6y,unknown,unknown,no,telephone,4,36-45,0,0
blue-collar,married,basic.6y,no,unknown,no,telephone,1,36-45,0,0
admin.,married,high.school,no,unknown,unknown,cellular,1,26-35,0,0
blue-collar,married,basic.6y,no,unknown,no,cellular,4,36-45,0,0
technician,single,professional.course,no,unknown,no,cellular,1,36-45,0,0
services,married,unknown,no,no,no,telephone,4,26-35,0,0
services,married,high.school,no,yes,no,telephone,2,36-45,0,0
technician,single,professional.course,no,yes,no,cellular,3,18-25,0,0
blue-collar,married,basic.4y,unknown,no,no,telephone,1,36-45,0,0
admin.,single,professional.course,no,unknown,yes,cellular,1,26-35,0,0
management,married,university.degree,no,no,no,cellular,1,46-55,1,17
admin.,married,basic.6y,unknown,unknown,no,cellular,2,36-45,0,0
entrepreneur,married,high.school,no,unknown,no,telephone,3,36-45,0,0
technician,married,professional.course,no,no,no,cellular,4,36-45,0,0
blue-collar,single,basic.4y,no,yes,yes,cellular,1,36-45,0,0
technician,single,basic.9y,no,yes,no,telephone,3,36-45,0,0
admin.,married,university.degree,no,unknown,yes,telephone,2,36-45,0,0
technician,single,university.degree,no,unknown,unknown,cellular,1,26-35,0,0
entrepreneur,divorced,university.degree,no,unknown,no,telephone,4,36-45,0,0
entrepreneur,married,high.school,no,unknown,no,cellular,5,36-45,0,0
admin.,married,high.school,no,unknown,yes,cellular,2,56-65,0,0
management,divorced,professional.course,no,yes,no,cellular,4,46-55,0,0
technician,single,basic.9y,unknown,unknown,no,telephone,1,36-45,0,0
blue-collar,married,basic.9y,no,no,no,cellular,2,26-35,0,0
admin.,married,university.degree,no,unknown,no,cellular,2,36-45,0,0
admin.,married,high.school,unknown,unknown,no,cellular,1,36-45,0,0
admin.,married,university.degree,unknown,unknown,unknown,cellular,5,46-55,0,0
services,single,professional.course,no,unknown,no,cellular,3,46-55,0,0
admin.,married,basic.4y,no,no,no,cellular,7,56-65,0,0
blue-collar,married,basic.4y,no,unknown,no,telephone,13,36-45,0,0
admin.,single,university.degree,no,yes,no,cellular,1,26-35,0,0
technician,married,basic.9y,no,unknown,no,cellular,3,46-55,0,0
blue-collar,married,basic.4y,no,unknown,no,cellular,1,36-45,0,0
technician,married,professional.course,no,unknown,no,telephone,1,26-35,0,0
technician,married,high.school,unknown,unknown,no,cellular,3,26-35,0,0
admin.,single,university.degree,no,unknown,no,cellular,1,26-35,0,0
student,single,unknown,no,unknown,no,cellular,2,18-25,0,0
technician,divorced,professional.course,no,no,no,telephone,4,46-55,0,0
blue-collar,married,basic.4y,unknown,unknown,no,cellular,1,36-45,0,0
blue-collar,unknown,high.school,no,unknown,no,cellular,2,26-35,0,0
admin.,married,high.school,no,yes,yes,cellular,2,46-55,1,6
blue-collar,married,unknown,unknown,no,yes,telephone,3,46-55,0,0
admin.,married,high.school,no,yes,yes,cellular,5,46-55,1,6
technician,single,professional.course,no,no,no,cellular,1,36-45,0,0
blue-collar,married,basic.9y,unknown,unknown,yes,telephone,3,26-35,0,0
services,married,high.school,no,unknown,no,cellular,1,46-55,0,0
admin.,single,high.school,no,yes,unknown,telephone,1,46-55,0,0
technician,single,professional.course,no,unknown,yes,cellular,1,26-35,0,0
admin.,single,high.school,no,unknown,unknown,cellular,1,36-45,0,0
services,single,high.school,no,yes,yes,cellular,5,18-25,0,0
blue-collar,single,basic.4y,unknown,unknown,no,telephone,3,36-45,0,0
technician,single,university.degree,no,unknown,no,telephone,4,26-35,0,0
technician,married,professional.course,no,no,unknown,cellular,1,26-35,0,0
blue-collar,single,high.school,no,unknown,no,cellular,3,26-35,0,0
admin.,married,high.school,no,yes,no,cellular,1,26-35,0,0
entrepreneur,married,university.degree,unknown,no,no,telephone,17,46-55,0,0
blue-collar,single,basic.4y,no,unknown,no,cellular,1,26-35,0,0
self-employed,married,basic.9y,no,unknown,no,cellular,7,46-55,0,0
admin.,single,university.degree,no,no,unknown,cellular,2,26-35,1,3
management,divorced,university.degree,no,yes,no,telephone,2,46-55,0,0
services,divorced,high.school,no,no,no,cellular,2,26-35,0,0
technician,single,professional.course,no,unknown,no,cellular,1,36-45,0,0
management,married,university.degree,no,yes,no,cellular,3,36-45,0,0
admin.,married,basic.6y,no,yes,no,cellular,1,46-55,0,0
admin.,married,high.school,unknown,unknown,no,telephone,1,26-35,0,0
management,married,unknown,unknown,no,yes,cellular,1,36-45,0,0
unemployed,married,basic.4y,unknown,yes,no,telephone,1,36-45,0,0
blue-collar,married,basic.4y,unknown,no,unknown,telephone,6,46-55,0,0
blue-collar,married,basic.4y,unknown,yes,no,telephone,12,46-55,0,0
admin.,divorced,unknown,unknown,unknown,yes,telephone,1,56-65,0,0
entrepreneur,married,university.degree,no,yes,unknown,telephone,2,56-65,0,0
technician,married,high.school,no,unknown,no,cellular,1,36-45,0,0
technician,married,university.degree,no,yes,unknown,cellular,3,36-45,0,0
entrepreneur,divorced,university.degree,no,yes,no,cellular,1,36-45,0,0
housemaid,married,professional.course,no,no,no,cellular,2,56-65,0,0
technician,married,basic.9y,no,no,no,cellular,1,36-45,0,0
admin.,single,university.degree,no,unknown,no,telephone,2,26-35,0,0
blue-collar,divorced,high.school,no,no,no,cellular,1,26-35,0,0
blue-collar,married,basic.6y,unknown,unknown,no,telephone,2,26-35,0,0
self-employed,single,university.degree,no,unknown,no,telephone,1,26-35,0,0
entrepreneur,married,university.degree,no,unknown,no,cellular,6,36-45,0,0
retired,married,professional.course,unknown,unknown,no,telephone,8,56-65,0,0
blue-collar,married,basic.9y,no,unknown,yes,cellular,6,26-35,0,0
self-employed,married,university.degree,no,unknown,unknown,cellular,3,26-35,0,0
entrepreneur,single,university.degree,no,unknown,unknown,telephone,3,36-45,0,0
admin.,single,university.degree,no,unknown,no,cellular,1,26-35,1,3
admin.,married,university.degree,no,no,no,cellular,2,26-35,0,0
blue-collar,married,basic.4y,unknown,unknown,no,cellular,1,56-65,0,0
blue-collar,married,basic.9y,unknown,no,no,telephone,1,36-45,0,0
admin.,married,university.degree,no,unknown,unknown,telephone,1,26-35,0,0
management,divorced,university.degree,no,unknown,no,cellular,9,36-45,0,0
admin.,single,university.degree,no,unknown,yes,cellular,1,26-35,0,0
unemployed,single,basic.9y,unknown,yes,no,telephone,1,36-45,0,0
retired,divorced,basic.4y,no,yes,no,cellular,3,66+,0,0
admin.,married,university.degree,no,unknown,no,telephone,1,26-35,0,0
technician,married,university.degree,no,no,unknown,cellular,1,26-35,0,0
admin.,married,basic.9y,no,unknown,no,cellular,1,26-35,0,0
blue-collar,married,high.school,no,unknown,no,telephone,1,26-35,0,0
technician,single,university.degree,no,no,no,cellular,3,36-45,0,0
blue-collar,married,basic.6y,unknown,unknown,yes,telephone,3,36-45,0,0
blue-collar,married,basic.9y,unknown,yes,unknown,cellular,5,36-45,0,0
student,single,university.degree,unknown,no,yes,telephone,2,26-35,0,0
admin.,single,high.school,unknown,unknown,no,cellular,2,26-35,0,0
self-employed,married,university.degree,no,unknown,no,cellular,5,46-55,0,0
admin.,divorced,university.degree,no,no,no,cellular,2,36-45,0,0
blue-collar,married,basic.9y,no,unknown,no,cellular,1,36-45,0,0
services,married,high.school,no,unknown,unknown,cellular,3,26-35,0,0
technician,single,professional.course,unknown,yes,yes,telephone,1,18-25,0,0
services,married,unknown,no,unknown,no,telephone,2,46-55,0,0
blue-collar,married,unknown,no,no,no,telephone,4,36-45,0,0
self-employed,married,university.degree,no,unknown,unknown,cellular,3,46-55,0,0
admin.,married,university.degree,no,unknown,unknown,telephone,1,46-55,0,0
blue-collar,single,basic.9y,no,no,no,cellular,1,26-35,0,0
technician,married,professional.course,no,no,no,cellular,2,46-55,0,0
admin.,married,university.degree,unknown,no,yes,cellular,1,36-45,0,0
retired,married,high.school,unknown,no,no,telephone,1,56-65,0,0
blue-collar,married,basic.9y,unknown,yes,no,cellular,1,46-55,0,0
admin.,married,university.degree,no,yes,no,cellular,1,46-55,0,0
blue-collar,single,university.degree,no,unknown,no,cellular,2,36-45,0,0
technician,married,professional.course,unknown,unknown,yes,cellular,1,26-35,0,0
services,married,high.school,unknown,unknown,unknown,cellular,2,26-35,0,0
blue-collar,married,unknown,unknown,unknown,no,cellular,4,26-35,0,0
entrepreneur,married,university.degree,no,unknown,yes,telephone,1,26-35,0,0
student,single,high.school,no,yes,no,cellular,1,18-25,1,1
services,single,high.school,no,yes,no,cellular,2,36-45,0,0
admin.,single,university.degree,no,unknown,yes,cellular,3,26-35,0,0
self-employed,single,unknown,no,no,no,cellular,8,36-45,0,0
admin.,single,high.school,no,unknown,yes,telephone,1,18-25,0,0
admin.,married,high.school,no,unknown,no,telephone,2,36-45,0,0
retired,married,unknown,no,unknown,no,cellular,1,56-65,0,0
management,single,university.degree,no,unknown,no,cellular,1,26-35,0,0
technician,married,unknown,no,unknown,no,telephone,1,36-45,0,0
services,single,high.school,no,yes,no,cellular,2,56-65,0,0
technician,married,university.degree,unknown,no,no,cellular,5,46-55,0,0
blue-collar,divorced,basic.6y,unknown,unknown,no,cellular,7,56-65,0,0
technician,divorced,professional.course,no,no,no,telephone,5,26-35,0,0
technician,married,professional.course,no,yes,no,cellular,2,26-35,0,0
management,married,university.degree,no,unknown,no,telephone,2,46-55,0,0
management,married,university.degree,no,no,no,cellular,1,26-35,0,0
admin.,married,university.degree,no,yes,no,cellular,1,36-45,0,0
technician,married,high.school,no,no,no,cellular,2,36-45,0,0
retired,divorced,basic.4y,no,unknown,no,telephone,1,46-55,0,0
unemployed,married,basic.9y,unknown,unknown,no,telephone,1,46-55,0,0
technician,married,high.school,no,unknown,unknown,cellular,3,36-45,0,0
retired,divorced,professional.course,no,yes,no,cellular,3,56-65,0,0
entrepreneur,married,university.degree,no,unknown,no,cellular,3,36-45,0,0
services,married,high.school,unknown,unknown,no,telephone,1,36-45,0,0
management,married,university.degree,no,unknown,yes,cellular,1,46-55,0,0
technician,single,university.degree,no,unknown,no,telephone,1,36-45,0,0
technician,single,professional.course,no,unknown,no,cellular,6,26-35,0,0
admin.,married,university.degree,no,yes,no,cellular,4,46-55,0,0
retired,married,basic.4y,no,unknown,unknown,cellular,1,56-65,0,0
admin.,married,university.degree,no,unknown,no,cellular,5,46-55,0,0
services,married,high.school,no,unknown,no,cellular,3,36-45,0,0
blue-collar,married,basic.4y,no,unknown,no,telephone,3,26-35,0,0
admin.,married,university.degree,no,yes,unknown,cellular,2,46-55,0,0
technician,single,professional.course,no,unknown,yes,cellular,1,26-35,0,0
management,married,university.degree,no,unknown,no,cellular,2,46-55,0,0
technician,single,university.degree,no,unknown,no,telephone,2,26-35,0,0
blue-collar,married,basic.9y,unknown,yes,no,cellular,2,26-35,0,0
admin.,single,high.school,no,yes,yes,cellular,1,26-35,0,0
unemployed,married,high.school,no,yes,yes,cellular,2,26-35,0,0
services,divorced,high.school,no,yes,no,telephone,4,36-45,0,0
entrepreneur,married,university.degree,no,yes,no,telephone,4,36-45,0,0
blue-collar,married,basic.4y,no,yes,no,cellular,1,26-35,0,0
housemaid,single,high.school,no,unknown,no,telephone,3,26-35,0,0
retired,married,basic.6y,unknown,unknown,no,cellular,3,46-55,0,0
technician,married,professional.course,unknown,no,no,telephone,2,56-65,0,0
retired,married,high.school,no,unknown,no,telephone,3,56-65,0,0
blue-collar,married,basic.9y,no,unknown,no,cellular,1,56-65,0,0
blue-collar,divorced,basic.9y,no,unknown,no,cellular,1,36-45,0,0
blue-collar,married,basic.6y,no,no,no,telephone,1,36-45,0,0
blue-collar,married,basic.4y,no,yes,no,cellular,1,26-35,0,0
technician,divorced,university.degree,no,yes,no,cellular,5,46-55,0,0
services,married,high.school,no,yes,yes,telephone,1,26-35,0,0
blue-collar,single,basic.9y,unknown,unknown,yes,cellular,7,18-25,0,0
blue-collar,married,basic.4y,unknown,yes,no,cellular,1,36-45,0,0
management,married,university.degree,no,unknown,no,telephone,1,56-65,0,0
admin.,married,university.degree,no,no,no,cellular,2,36-45,0,0
unemployed,single,university.degree,no,unknown,no,cellular,1,26-35,0,0
blue-collar,married,high.school,unknown,unknown,no,telephone,2,26-35,0,0
retired,married,professional.course,no,yes,no,telephone,2,66+,0,0
blue-collar,divorced,basic.4y,unknown,unknown,no,cellular,1,46-55,0,0
blue-collar,married,basic.9y,no,yes,no,cellular,6,18-25,0,0
services,single,basic.9y,no,yes,unknown,telephone,3,26-35,0,0
retired,single,professional.course,no,no,no,cellular,1,66+,1,6
unemployed,married,basic.9y,no,yes,no,cellular,1,46-55,0,0
services,single,high.school,no,unknown,unknown,cellular,1,26-35,0,0
technician,single,professional.course,no,unknown,no,telephone,2,26-35,0,0
entrepreneur,married,university.degree,no,no,no,cellular,1,56-65,0,0
technician,married,basic.9y,unknown,unknown,no,telephone,1,18-25,0,0
admin.,single,university.degree,no,unknown,no,cellular,1,18-25,0,0
admin.,single,university.degree,no,unknown,no,cellular,1,36-45,0,0
entrepreneur,married,basic.9y,no,unknown,unknown,cellular,2,36-45,0,0
admin.,single,university.degree,no,unknown,no,cellular,3,26-35,0,0
admin.,single,university.degree,no,unknown,unknown,telephone,1,26-35,0,0
retired,married,basic.4y,no,yes,yes,cellular,1,66+,1,6
entrepreneur,married,basic.6y,no,yes,yes,cellular,3,36-45,0,0
admin.,divorced,university.degree,no,unknown,no,cellular,1,46-55,0,0
blue-collar,single,high.school,no,unknown,no,cellular,1,18-25,0,0
technician,married,professional.course,no,unknown,unknown,telephone,3,46-55,0,0
services,married,basic.6y,no,yes,no,cellular,1,46-55,0,0
student,married,professional.course,unknown,yes,no,cellular,1,36-45,0,0
technician,single,professional.course,no,no,no,cellular,1,26-35,0,0
admin.,single,high.school,no,unknown,no,telephone,1,26-35,0,0
technician,married,professional.course,no,yes,unknown,cellular,2,36-45,0,0
technician,single,high.school,no,yes,no,telephone,4,26-35,0,0
technician,married,professional.course,unknown,yes,no,cellular,1,56-65,0,0
student,single,university.degree,unknown,no,unknown,telephone,1,26-35,0,0
self-employed,married,university.degree,no,yes,no,cellular,1,46-55,0,0
management,married,university.degree,no,yes,yes,cellular,11,46-55,0,0
blue-collar,married,unknown,no,unknown,unknown,telephone,1,36-45,0,0
